Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
D2,IR26-61C,8.37438mm,9.565924mm,8.37438mm,9.565924mm,8.37438mm,9.565924mm,T,90,LED
D3,IR26-61C,8.35914mm,19.563364mm,8.35914mm,19.563364mm,8.35914mm,19.563364mm,T,0,LED
D4,IR26-61C,11.2268mm,1.249964mm,11.2268mm,1.249964mm,11.2268mm,1.249964mm,T,0,LED
D5,IR26-61C,1.61798mm,9.129044mm,1.61798mm,9.129044mm,1.61798mm,9.129044mm,T,90,LED
D6,IR26-61C,18.54454mm,11.519184mm,18.54454mm,11.519184mm,18.54454mm,11.519184mm,T,270,LED
IRFT1,H638T,2.01168mm,4.132864mm,2.01168mm,4.132864mm,8.31168mm,1.592864mm,T,0,H638T
J1,1.27-4P-SMD,13.79982mm,19.593844mm,13.79982mm,19.593844mm,13.79982mm,19.593844mm,T,90,Conn_01x04
R3,0402_R,7.81304mm,6.845584mm,7.81304mm,6.845584mm,8.23804mm,6.845584mm,T,180,0402_0次__1002_1%
WI,RFANT3216-Z,2.28092mm,16.220724mm,2.28092mm,16.220724mm,2.28092mm,16.220724mm,T,90,RFANT3216120A5T
C1,0603_C,3.99326mm,1.958624mm,3.99326mm,1.958624mm,3.22326mm,1.958624mm,B,0,0603_10uF__106_10%_10V
C2,0402_C,4.65836mm,4.237824mm,4.65836mm,4.237824mm,4.65836mm,4.662824mm,B,270,0402_4.7uF__475_20%_10V
C3,0402_C,1.70434mm,1.951824mm,1.70434mm,1.951824mm,1.70434mm,2.376824mm,B,270,0402_4.7uF__475_20%_10V
D1,0603_LED_S1,8.74268mm,19.720844mm,8.74268mm,19.720844mm,7.97268mm,19.720844mm,B,0,0603_懦腑
Q1,SOT-23(SOT-23-3),14.77486mm,19.187484mm,14.77486mm,19.187484mm,16.02486mm,20.137484mm,B,0,J3Y
Q2,SOT-23(SOT-23-3),18.17374mm,14.890084mm,18.17374mm,14.890084mm,19.12374mm,13.640084mm,B,270,J3Y
Q3,SOT-23(SOT-23-3),18.26514mm,6.152484mm,18.26514mm,6.152484mm,17.31514mm,7.402484mm,B,90,J3Y
R1,0402_R,3.12928mm,4.192104mm,3.12928mm,4.192104mm,3.12928mm,4.617104mm,B,270,0402_10K次__1002_1%
R2,0402_R,1.6891mm,4.184484mm,1.6891mm,4.184484mm,1.6891mm,3.759484mm,B,90,0402_100次__1000_1%
R4,0402_R,17.58696mm,19.459224mm,17.58696mm,19.459224mm,17.58696mm,19.034224mm,B,90,0402_100次__1000_1%
R5,0402_R,18.51406mm,11.989084mm,18.51406mm,11.989084mm,18.08906mm,11.989084mm,B,0,0402_100次__1000_1%
R6,0402_R,17.87734mm,9.063004mm,17.87734mm,9.063004mm,18.30234mm,9.063004mm,B,180,0402_100次__1000_1%
R7,0402_R,11.11758mm,19.591304mm,11.11758mm,19.591304mm,11.11758mm,20.016304mm,B,270,0402_1K次__1001_1%
U2,SOT-89(SOT-89-3),10.3124mm,2.860324mm,10.3124mm,2.860324mm,10.3124mm,4.360324mm,B,0,AMS1117-3.3
J2,USB_A_90,25.2369mm,-0.829536mm,25.2369mm,-0.829536mm,14.47038mm,6.976004mm,T,180,USB_A
U1,ESP-01F-IR,5.18922mm,12.067824mm,5.18922mm,12.067824mm,1.33368mm,16.878584mm,B,270,ESP-01F
